ticket_id,install,opened,category,body,first_response_h,resolved
T000479,I00523,2025-09-03,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",8,False
T000480,I00525,2025-02-24,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",3,True
T000481,I00526,2025-05-26,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,True
T000482,I00527,2026-01-08,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",40,True
T000483,I00527,2025-06-24,user-error,"guard interlock left open, machine correctly refused to start, user error",8,True
T000484,I00528,2024-09-13,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",8,True
T000485,I00529,2025-03-09,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000486,I00529,2024-09-05,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",54,True
T000487,I00529,2025-02-17,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",30,False
T000488,I00530,2026-07-07,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,False
T000489,I00530,2026-01-15,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",96,True
T000490,I00531,2026-03-25,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",1,False
T000491,I00532,2026-03-19,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000492,I00532,2026-08-19,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,True
T000493,I00532,2026-09-19,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",54,True
T000494,I00537,2026-05-20,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",1,True
T000495,I00538,2025-01-24,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",12,False
T000496,I00541,2026-01-09,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",3,False
T000497,I00541,2026-06-25,user-error,"guard interlock left open, machine correctly refused to start, user error",18,True
T000498,I00545,2025-05-06,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",96,True
T000499,I00545,2024-11-10,wear,"drive wear and vibration, continuous three shift operation since install",30,True
T000500,I00546,2026-02-22,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",12,True
T000501,I00547,2025-08-25,user-error,"guard interlock left open, machine correctly refused to start, user error",4,True
T000502,I00548,2026-03-13,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,False
T000503,I00549,2025-08-24,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000504,I00549,2025-12-29,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000505,I00550,2025-03-17,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
T000506,I00550,2025-11-28,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",40,False
T000507,I00551,2026-03-22,wear,"drive wear and vibration, continuous three shift operation since install",40,True
T000508,I00553,2025-08-11,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000509,I00553,2025-06-29,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",12,True
T000510,I00554,2025-10-26,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",30,False
T000511,I00555,2025-03-23,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000512,I00556,2024-07-18,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
T000513,I00556,2025-04-02,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",8,True
T000514,I00556,2024-11-20,electrical,"control board error code 21, replaced the relay, fault cleared",3,True
T000515,I00557,2024-08-02,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000516,I00558,2025-05-25,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,True
T000517,I00558,2025-10-18,wear,"drive wear and vibration, continuous three shift operation since install",54,True
T000518,I00560,2025-10-08,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000519,I00560,2026-05-31,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000520,I00561,2025-03-03,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",1,True
T000521,I00564,2025-11-18,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",30,True
T000522,I00565,2025-05-25,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",96,True
T000523,I00565,2025-06-22,wear,"drive wear and vibration, continuous three shift operation since install",54,False
T000524,I00565,2025-03-25,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",12,True
T000525,I00566,2026-02-28,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000526,I00567,2024-12-06,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000527,I00568,2024-07-12,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000528,I00570,2025-01-22,wear,"drive wear and vibration, continuous three shift operation since install",30,True
T000529,I00573,2026-05-30,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000530,I00576,2025-08-15,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
T000531,I00577,2025-02-11,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",40,False
T000532,I00581,2025-09-16,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000533,I00582,2026-03-08,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",3,False
T000534,I00583,2026-02-16,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",96,True
T000535,I00583,2026-04-10,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000536,I00584,2026-02-25,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",96,True
T000537,I00584,2026-04-19,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",96,True
T000538,I00585,2024-06-03,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000539,I00586,2025-05-23,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",3,True
T000540,I00586,2025-02-26,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",3,False
T000541,I00587,2025-01-21,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000542,I00588,2025-12-01,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",18,True
T000543,I00590,2026-02-01,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",30,True
T000544,I00591,2024-07-30,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000545,I00592,2024-08-21,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",54,True
T000546,I00595,2024-08-13,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000547,I00595,2024-12-01,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",1,False
T000548,I00596,2025-12-29,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000549,I00597,2025-01-04,wear,"drive wear and vibration, continuous three shift operation since install",54,False
T000550,I00598,2025-09-10,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",18,True
T000551,I00599,2024-08-02,wear,"drive wear and vibration, continuous three shift operation since install",1,True
T000552,I00599,2024-06-26,wear,"drive wear and vibration, continuous three shift operation since install",18,True
T000553,I00599,2024-07-22,user-error,"guard interlock left open, machine correctly refused to start, user error",1,True
T000554,I00601,2025-08-21,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000555,I00603,2025-10-15,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",96,True
T000556,I00604,2025-12-10,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",8,True
T000557,I00605,2026-07-16,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000558,I00606,2026-03-21,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",12,True
T000559,I00607,2026-01-03,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000560,I00607,2025-09-01,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000561,I00613,2024-08-26,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",1,True
T000562,I00613,2025-04-06,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",8,True
T000563,I00616,2025-03-29,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",96,True
T000564,I00617,2024-07-26,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",12,False
T000565,I00619,2025-10-18,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",8,True
T000566,I00621,2025-04-12,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000567,I00621,2025-06-21,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",4,True
T000568,I00625,2025-03-26,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,True
T000569,I00625,2024-11-08,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000570,I00625,2024-12-27,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,False
T000571,I00625,2025-02-21,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",12,True
T000572,I00626,2026-01-08,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",96,True
T000573,I00626,2025-12-27,electrical,"control board error code 21, replaced the relay, fault cleared",4,True
T000574,I00627,2025-03-31,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000575,I00628,2025-05-29,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",8,True
T000576,I00629,2025-01-11,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",1,True
T000577,I00629,2025-02-17,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000578,I00630,2025-01-04,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,False
T000579,I00630,2024-09-15,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,True
T000580,I00630,2025-08-07,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",12,False
T000581,I00631,2025-01-08,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",1,False
T000582,I00634,2025-06-28,wear,"drive wear and vibration, continuous three shift operation since install",12,True
T000583,I00634,2025-02-10,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",54,True
T000584,I00636,2025-06-11,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",18,False
T000585,I00636,2025-09-30,wear,"drive wear and vibration, continuous three shift operation since install",1,True
T000586,I00637,2025-04-06,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000587,I00637,2025-09-10,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000588,I00637,2025-10-04,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",30,True
T000589,I00638,2025-05-21,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",1,False
T000590,I00639,2025-08-16,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",8,True
T000591,I00640,2025-10-21,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000592,I00644,2025-09-17,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",40,False
T000593,I00645,2025-06-01,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",8,True
T000594,I00646,2025-04-11,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000595,I00646,2025-05-01,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000596,I00646,2025-03-09,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,False
T000597,I00647,2025-05-26,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,False
T000598,I00647,2024-08-14,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",96,True
T000599,I00651,2025-03-01,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000600,I00651,2025-06-13,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",30,True
T000601,I00651,2025-09-24,electrical,"control board error code 21, replaced the relay, fault cleared",54,False
T000602,I00652,2025-05-11,electrical,"control board error code 21, replaced the relay, fault cleared",18,True
T000603,I00655,2026-04-15,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",30,True
T000604,I00658,2024-11-07,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",12,True
T000605,I00658,2024-08-29,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000606,I00658,2025-04-11,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,True
T000607,I00659,2026-05-29,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",8,True
T000608,I00659,2026-03-25,wear,"drive wear and vibration, continuous three shift operation since install",8,True
T000609,I00660,2025-03-09,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000610,I00660,2025-08-28,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",4,True
T000611,I00661,2024-12-09,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,False
T000612,I00662,2025-04-02,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",8,True
T000613,I00663,2025-04-27,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",8,True
T000614,I00663,2024-07-04,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",3,True
T000615,I00664,2025-08-15,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",40,True
T000616,I00664,2025-03-28,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000617,I00667,2025-11-04,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000618,I00668,2025-06-13,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",96,True
T000619,I00670,2024-11-17,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000620,I00670,2024-12-27,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000621,I00670,2025-05-14,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",12,True
T000622,I00670,2024-08-24,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000623,I00671,2025-04-11,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",4,True
T000624,I00671,2025-11-25,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000625,I00672,2025-09-24,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000626,I00672,2025-12-19,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000627,I00672,2026-06-06,wear,"drive wear and vibration, continuous three shift operation since install",30,True
T000628,I00682,2026-01-12,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",12,True
T000629,I00683,2025-10-06,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",3,True
T000630,I00684,2025-10-01,user-error,"guard interlock left open, machine correctly refused to start, user error",12,True
T000631,I00686,2025-07-11,user-error,"guard interlock left open, machine correctly refused to start, user error",30,True
T000632,I00687,2024-11-20,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,True
T000633,I00687,2025-06-04,electrical,"control board error code 21, replaced the relay, fault cleared",4,False
T000634,I00689,2025-09-21,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",3,True
T000635,I00690,2026-02-06,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",8,True
T000636,I00692,2025-05-22,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000637,I00692,2025-07-26,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000638,I00692,2025-05-14,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000639,I00696,2026-04-17,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000640,I00696,2025-10-29,user-error,"guard interlock left open, machine correctly refused to start, user error",12,True
T000641,I00698,2025-10-20,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",30,True
T000642,I00700,2026-06-22,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",96,True
T000643,I00700,2026-02-07,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,False
T000644,I00700,2026-05-22,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",54,True
T000645,I00700,2025-12-17,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000646,I00703,2025-07-16,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",4,True
T000647,I00704,2026-01-10,user-error,"guard interlock left open, machine correctly refused to start, user error",12,False
T000648,I00705,2025-01-02,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",12,False
T000649,I00705,2025-09-15,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000650,I00706,2026-09-02,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000651,I00706,2026-02-08,user-error,"guard interlock left open, machine correctly refused to start, user error",96,True
T000652,I00706,2026-09-06,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",30,True
T000653,I00707,2026-07-17,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",3,True
T000654,I00712,2025-02-26,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000655,I00713,2025-10-31,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",12,True
T000656,I00713,2025-10-11,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,True
T000657,I00713,2025-11-26,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",30,True
T000658,I00713,2025-12-10,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",96,True
T000659,I00714,2025-05-09,user-error,"guard interlock left open, machine correctly refused to start, user error",1,True
T000660,I00715,2025-09-22,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",96,False
T000661,I00719,2025-07-31,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",40,True
T000662,I00719,2026-04-01,wear,"drive wear and vibration, continuous three shift operation since install",1,True
T000663,I00719,2026-04-25,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",3,True
T000664,I00720,2024-09-13,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000665,I00721,2025-02-18,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",8,True
T000666,I00722,2025-07-26,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,False
T000667,I00722,2025-03-23,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000668,I00723,2024-07-26,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",3,True
T000669,I00724,2025-04-28,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",8,True
T000670,I00724,2026-01-24,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",3,True
T000671,I00725,2026-03-06,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",30,True
T000672,I00725,2026-05-31,wear,"drive wear and vibration, continuous three shift operation since install",4,True
T000673,I00725,2026-03-20,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",4,True
T000674,I00726,2025-03-24,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",54,True
T000675,I00730,2025-08-06,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",8,True
T000676,I00730,2025-06-26,user-error,"guard interlock left open, machine correctly refused to start, user error",3,True
T000677,I00731,2024-10-13,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",54,False
T000678,I00731,2024-09-09,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,True
T000679,I00732,2025-02-15,user-error,"guard interlock left open, machine correctly refused to start, user error",30,True
T000680,I00733,2025-06-21,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000681,I00736,2025-04-21,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",1,True
T000682,I00741,2026-06-05,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000683,I00742,2025-08-09,electrical,"control board error code 21, replaced the relay, fault cleared",8,True
T000684,I00742,2025-11-08,user-error,"guard interlock left open, machine correctly refused to start, user error",1,True
T000685,I00743,2024-10-08,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,True
T000686,I00743,2024-11-07,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",3,True
T000687,I00744,2025-12-12,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000688,I00744,2025-07-01,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000689,I00746,2024-12-11,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,True
T000690,I00746,2024-11-24,wear,"drive wear and vibration, continuous three shift operation since install",8,True
T000691,I00747,2024-06-03,wear,"drive wear and vibration, continuous three shift operation since install",12,False
T000692,I00748,2025-09-08,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",1,True
T000693,I00749,2024-08-23,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000694,I00749,2025-05-29,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",12,False
T000695,I00750,2026-05-10,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000696,I00750,2026-03-17,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",54,True
T000697,I00752,2026-01-29,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",8,True
T000698,I00752,2026-06-28,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",8,True
T000699,I00753,2025-12-27,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",1,True
T000700,I00754,2025-04-17,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000701,I00757,2025-06-01,electrical,"control board error code 21, replaced the relay, fault cleared",3,True
T000702,I00758,2026-04-17,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",12,True
T000703,I00758,2025-10-30,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",4,False
T000704,I00759,2025-01-15,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",18,False
T000705,I00759,2025-08-20,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",40,True
T000706,I00759,2024-10-30,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",1,False
T000707,I00759,2024-11-10,wear,"drive wear and vibration, continuous three shift operation since install",8,True
T000708,I00760,2026-01-14,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000709,I00760,2026-05-11,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",4,True
T000710,I00760,2026-05-29,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",12,True
T000711,I00763,2025-01-13,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",54,True
T000712,I00766,2025-01-03,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000713,I00766,2025-01-29,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",30,False
T000714,I00767,2025-01-30,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000715,I00767,2025-01-07,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000716,I00768,2024-12-31,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",54,True
T000717,I00769,2025-09-29,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",18,True
T000718,I00771,2025-06-07,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",3,True
T000719,I00772,2026-01-11,wear,"drive wear and vibration, continuous three shift operation since install",30,False
T000720,I00773,2025-04-14,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000721,I00774,2025-01-21,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",12,True
T000722,I00775,2025-07-02,electrical,"control board error code 21, replaced the relay, fault cleared",3,True
T000723,I00777,2025-10-24,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",12,True
T000724,I00778,2025-05-24,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",96,True
T000725,I00778,2025-01-05,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000726,I00779,2025-08-22,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",4,True
T000727,I00780,2025-03-25,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",8,True
T000728,I00781,2025-04-14,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000729,I00781,2026-03-21,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",4,False
T000730,I00782,2025-05-09,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",1,True
T000731,I00786,2024-07-20,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",8,True
T000732,I00786,2025-06-15,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",8,True
T000733,I00788,2025-02-07,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,True
T000734,I00790,2026-03-27,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000735,I00790,2025-05-25,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",4,True
T000736,I00791,2026-02-18,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",8,True
T000737,I00792,2025-06-01,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000738,I00792,2025-09-01,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",12,True
T000739,I00792,2025-10-17,wear,"drive wear and vibration, continuous three shift operation since install",54,True
T000740,I00792,2025-11-29,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000741,I00792,2025-09-05,wear,"excessive wear on rollers, unit running 24h, duty cycle far above rating",96,True
T000742,I00793,2024-12-23,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
T000743,I00793,2025-08-19,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",8,True
T000744,I00798,2026-08-02,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,False
T000745,I00798,2025-12-07,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,True
T000746,I00798,2026-01-28,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,True
T000747,I00799,2025-05-23,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000748,I00799,2024-11-14,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,True
T000749,I00799,2024-09-07,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000750,I00800,2026-08-10,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,True
T000751,I00803,2025-08-09,electrical,"power supply dropout, breaker tripped once, wiring inspected and fine",96,True
